"categoria","nombre","uuid","display_openmrs","fuente","score","flag","alternativas"
"neurologico","Demencia / Alzheimer","119566AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","demencia","OPENMRS","85","OK",""
"neurologico","Secuela de ACV (hemiparesia)","138961AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hemiparesia","OPENMRS","72","REVISAR","hemiparesia (138961AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [72] || Secuela ocasionada por fractura de fémur (158774AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [40] || secuela de tuberculosis (113024AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [40]"
"neurologico","Vértigo periférico","114207AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","vértigo periférico","OPENMRS","100","OK",""
"neurologico","Meningitis bacteriana","121255AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Meningitis bacteriana","CATALOGO","100","OK",""
"neurologico","Meningitis viral","122518AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","meningitis viral","OPENMRS","100","OK",""
"neurologico","Encefalitis","165925AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Encefalitis","OPENMRS","100","OK","Encefalitis (165925AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [100] || encefalitis sifilítica (125117AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || encefalitis enteroviral (152155AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88]"
"neurologico","Neurocisticercosis","110508AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","cisticercosis cerebral","OPENMRS","0","REVISAR","cisticercosis cerebral (110508AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [0]"
"neurologico","Esclerosis múltiple","133687AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","esclerosis múltiple","OPENMRS","100","OK",""
"neurologico","Polineuropatía alcohólica","149148AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","polineuropatía alcohólica","OPENMRS","100","OK",""
"neurologico","Temblor esencial","140980AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","temblor esencial","OPENMRS","100","OK",""
"neurologico","Cefalea en racimos","139084AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","cefalea","OPENMRS","85","OK",""
"dermatologico","Dermatitis atópica","164107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Dermatitis atopica","CATALOGO","100","OK",""
"dermatologico","Dermatitis de contacto","119895AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Dermatitis de contacto","CATALOGO","100","OK",""
"dermatologico","Dermatitis seborreica","113114AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","dermatitis seborreica","OPENMRS","100","OK",""
"dermatologico","Acné vulgar","150126AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","acné vulgar","CATALOGO","100","OK",""
"dermatologico","Escabiosis (sarna)","140AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Escabiosis","CATALOGO","100","OK",""
"dermatologico","Tiña corporal (dermatofitosis)","119506AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","dermatofitosis","OPENMRS","72","REVISAR","dermatofitosis (119506AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [72] || tiña por Epidermophyton floccosum (124644AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30] || tiña crural (124647AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30]"
